region,province,district,city_kab_name,sub_district,postal_code
East Java,Bali,Kargilakung,Gianyar,Ubud,80571
East Java,Bali,Kargilakung,Bangli,Tembuku,80671
East Java,Bali,Buana,Buleleng,Tejakula,81173
East Java,Bali,Kargilakung,Gianyar,Tegallalang,80561
East Java,Bali,Kargilakung,Gianyar,Tampak Siring,80552
East Java,Bali,Dentadung,Tabanan,Tabanan,82112
East Java,Bali,Dentadung,Tabanan,Tabanan,82115
East Java,Bali,Dentadung,Tabanan,Tabanan,82111
East Java,Bali,Dentadung,Tabanan,Tabanan,82114
East Java,Bali,Dentadung,Tabanan,Tabanan,82113
East Java,Bali,Kargilakung,Bangli,Susut,80661
East Java,Bali,Kargilakung,Gianyar,Sukawati,80582
East Java,Bali,Buana,Buleleng,Sukasada,81161
East Java,Bali,Kargilakung,Karangasem,Sidemen,80864
East Java,Bali,Buana,Buleleng,Seririt,81153
East Java,Bali,Dentadung,Tabanan,Selemadeg,82162
East Java,Bali,Kargilakung,Karangasem,Selat,80862
East Java,Bali,Buana,Buleleng,Sawan,81171
East Java,Bali,Kargilakung,Karangasem,Rendang,80863
East Java,Bali,Dentadung,Tabanan,Pupuan,82163
East Java,Bali,Dentadung,Badung,Petang,80353
East Java,Bali,Dentadung,Tabanan,Penebel,82152
East Java,Bali,Buana,Jembrana,Pekutatan,82262
East Java,Bali,Kargilakung,Gianyar,Payangan,80572
East Java,Bali,Kargilakung,Klungkung,Nusapenida,80771
East Java,Bali,Buana,Jembrana,Negara,82212
East Java,Bali,Buana,Jembrana,Negara,82218
East Java,Bali,Buana,Jembrana,Negara,82213
East Java,Bali,Buana,Jembrana,Negara,82214
East Java,Bali,Buana,Jembrana,Negara,82215
East Java,Bali,Dentadung,Badung,Mengwi,80351
East Java,Bali,Buana,Jembrana,Mendoyo,82261
East Java,Bali,Buana,Jembrana,Melaya,82252
East Java,Bali,Dentadung,Tabanan,Marga,82181
East Java,Bali,Kargilakung,Karangasem,Manggis,80871
East Java,Bali,Dentadung,Badung,Kuta Utara,80361
East Java,Bali,Buana,Buleleng,Kubutambahan,81172
East Java,Bali,Kargilakung,Karangasem,Kubu,80853
East Java,Bali,Kargilakung,Klungkung,Klungkung,80716
East Java,Bali,Kargilakung,Klungkung,Klungkung,80712
East Java,Bali,Kargilakung,Klungkung,Klungkung,80713
East Java,Bali,Kargilakung,Klungkung,Klungkung,80711
East Java,Bali,Kargilakung,Bangli,Kintamani,80652
East Java,Bali,Dentadung,Tabanan,Kerambitan,82161
East Java,Bali,Dentadung,Tabanan,Kediri,82121
East Java,Bali,Dentadung,Tabanan,Kediri,82123
East Java,Bali,Kargilakung,Karangasem,Karang Asem,80811
East Java,Bali,Kargilakung,Karangasem,Karang Asem,80813
East Java,Bali,Buana,Jembrana,Jembrana,82216
East Java,Bali,Buana,Jembrana,Jembrana,82211
East Java,Bali,Kargilakung,Gianyar,Gianyar,80515
East Java,Bali,Kargilakung,Gianyar,Gianyar,80513
East Java,Bali,Kargilakung,Gianyar,Gianyar,80511
East Java,Bali,Kargilakung,Gianyar,Gianyar,80512
East Java,Bali,Buana,Buleleng,Gerokgak,81155
East Java,Bali,Dentadung,Denpasar,Denpasar Utara,80231
East Java,Bali,Dentadung,Denpasar,Denpasar Utara,80233
East Java,Bali,Dentadung,Denpasar,Denpasar Utara,80111
East Java,Bali,Dentadung,Denpasar,Denpasar Utara,80115
